filename,label
BOOWY 【BEAT EMOTION】04  BEAT SWEET　 vinyl   ハイレゾ-vocals-G major-129bpm-444hz.wav,1
BOOWY 【BEAT EMOTION】　07  SUPER CALIFRAGILISTIC EXPIARI DOCIOUS　vinyl   ハイレゾ-vocals-F major-161bpm-443hz.wav,1
Liar Girl-vocals-C# minor-148bpm-441hz.wav,1
Gigolo & Gigolet-vocals-D major-154bpm-441hz.wav,1
BOOWY 【BEAT EMOTION】03 RUNAWAY TRAIN　 vinyl   ハイレゾ-vocals-A minor-150bpm-443hz.wav,1
Memory-vocals-C major-145bpm-441hz.wav,1
Kisetsu Ga Kimi Dake Wo Kaeru-vocals-B minor-63bpm-441hz.wav,1
BOOWY 【BEAT EMOTION】　12 SENSITIVE LOVE　 vinyl   ハイレゾ-vocals-D major-160bpm-443hz.wav,1
Rendez-Vous (Live In Hamburg July 1987)-vocals-G major-152bpm-441hz.wav,1
Celluloid Doll-vocals-A major-142bpm-441hz.wav,1
Longer Than Forever-vocals-G major-158bpm-441hz.wav,1
Fantastic Story-vocals-B minor-147bpm-440hz.wav,1
BOOWY 【BEAT EMOTION】　09  RAIN IN MY HEART　vinyl   ハイレゾ-vocals-C major-141bpm-444hz.wav,1
BOOWY 【BEAT EMOTION】　02 ONLY YOU　 vinyl   ハイレゾ-vocals-C# minor-186bpm-443hz.wav,1
BOOWY 【BEAT EMOTION】  01 B・Blue 　 vinyl   ハイレゾ-vocals-A major-166bpm-443hz.wav,1
BOOWY 【BEAT EMOTION】　10 DRAMATIC  DRASTIC　 vinyl   ハイレゾ-vocals-C major-131bpm-444hz.wav,1
Plastic Bomb-vocals-C major-191bpm-440hz.wav,0
BOOWY 【BEAT EMOTION】　06 B・E・L・I・E・V・E　vinyl   ハイレゾ-vocals-A major-104bpm-443hz.wav,1
BOOWY 【BEAT EMOTION】　08  DOWN TOWN SHUFFLE　 vinyl   ハイレゾ-vocals-C major-125bpm-444hz.wav,1
BOOWY 【BEAT EMOTION】05  DON'T ASK ME　 vinyl   ハイレゾ-vocals-A minor-140bpm-445hz.wav,1
Psychopath-vocals-C minor-129bpm-441hz.wav,1
Marionette-vocals-B major-159bpm-441hz.wav,1
BOOWY 【BEAT EMOTION】　11 OUR REVOLUTION　 vinyl   ハイレゾ-vocals-E major-139bpm-444hz.wav,1
silence_test.wav,0
noise_test.wav,0
